,Date,Temp(F),Humidity,Hrs Daylight
0,2006-01-01,58.1,74.1,9.98
1,2006-01-02,68.1,70.3,9.98
2,2006-01-03,49.3,72.9,10.0
3,2006-01-04,53.8,66.9,10.02
4,2006-01-05,45.1,68.1,10.02
5,2006-01-06,36.8,63.3,10.03
6,2006-01-07,39.5,53.9,10.05
7,2006-01-08,56.3,49.8,10.07
8,2006-01-09,62.2,67.2,10.08
9,2006-01-10,62.1,71.4,10.1
10,2006-01-11,48.7,84.4,10.1
11,2006-01-12,52.6,71.8,10.13
12,2006-01-13,50.0,77.1,10.15
13,2006-01-14,37.3,58.5,10.17
14,2006-01-15,42.0,45.0,10.18
15,2006-01-16,55.2,72.2,10.2
16,2006-01-17,35.3,85.0,10.22
17,2006-01-18,43.1,57.3,10.23
18,2006-01-19,51.6,50.0,10.27
19,2006-01-20,53.6,74.8,10.28
20,2006-01-21,59.4,94.0,10.3
21,2006-01-22,62.6,83.0,10.33
22,2006-01-23,56.8,93.5,10.35
23,2006-01-24,50.0,65.5,10.38
24,2006-01-25,44.8,49.1,10.4
25,2006-01-26,43.0,46.2,10.43
26,2006-01-27,50.3,36.0,10.45
27,2006-01-28,56.5,46.9,10.48
28,2006-01-29,57.9,76.2,10.5
29,2006-01-30,51.0,72.2,10.53
30,2006-01-31,43.9,60.4,10.55
31,2006-02-01,49.9,51.0,10.58
32,2006-02-02,52.6,78.2,10.62
33,2006-02-03,52.4,87.2,10.65
34,2006-02-04,41.8,71.4,10.67
35,2006-02-05,36.1,55.9,10.7
36,2006-02-06,40.0,90.4,10.73
37,2006-02-07,38.0,64.3,10.77
38,2006-02-08,40.5,58.2,10.78
39,2006-02-09,38.3,59.2,10.82
40,2006-02-10,43.2,58.0,10.85
41,2006-02-11,38.9,79.8,10.88
42,2006-02-12,32.6,61.1,10.92
43,2006-02-13,34.0,54.1,10.95
44,2006-02-14,45.8,46.4,10.98
45,2006-02-15,56.6,44.9,11.0
46,2006-02-16,61.8,56.2,11.03
47,2006-02-17,51.3,74.8,11.07
48,2006-02-18,35.5,81.1,11.1
49,2006-02-19,31.9,62.7,11.13
50,2006-02-20,36.7,91.3,11.17
51,2006-02-21,45.5,84.7,11.2
52,2006-02-22,56.8,95.0,11.23
53,2006-02-23,50.9,80.5,11.27
54,2006-02-24,53.3,45.3,11.3
55,2006-02-25,50.5,84.9,11.33
56,2006-02-26,40.1,46.4,11.37
57,2006-02-27,46.5,40.9,11.4
58,2006-02-28,58.0,47.0,11.43
59,2006-03-01,64.2,60.0,11.47
60,2006-03-02,64.0,63.7,11.5
61,2006-03-03,48.2,49.9,11.53
62,2006-03-04,46.6,49.9,11.57
63,2006-03-05,55.2,38.8,11.62
64,2006-03-06,57.7,55.2,11.65
65,2006-03-07,50.8,49.0,11.68
66,2006-03-08,60.4,42.3,11.72
67,2006-03-09,60.7,75.0,11.75
68,2006-03-10,65.3,58.9,11.78
69,2006-03-11,70.5,78.8,11.82
70,2006-03-12,72.5,67.2,11.85
71,2006-03-13,69.8,77.8,11.88
72,2006-03-14,52.8,47.7,11.92
73,2006-03-15,46.0,62.0,11.95
74,2006-03-16,56.7,53.9,11.98
75,2006-03-17,57.5,71.8,12.03
76,2006-03-18,48.9,58.6,12.07
77,2006-03-19,45.6,82.1,12.1
78,2006-03-20,51.3,87.5,12.13
79,2006-03-21,56.0,76.1,12.17
80,2006-03-22,42.6,59.7,12.2
81,2006-03-23,44.0,56.5,12.23
82,2006-03-24,43.8,51.8,12.27
83,2006-03-25,42.6,53.6,12.3
84,2006-03-26,44.2,51.0,12.33
85,2006-03-27,54.5,35.7,12.37
86,2006-03-28,59.0,73.0,12.4
87,2006-03-29,57.6,57.5,12.45
88,2006-03-30,64.9,52.5,12.48
89,2006-03-31,68.0,63.7,12.52
90,2006-04-01,70.8,78.5,12.55
91,2006-04-02,71.9,72.4,12.58
92,2006-04-03,67.5,66.3,12.62
93,2006-04-04,56.5,48.8,12.65
94,2006-04-05,59.5,46.1,12.68
95,2006-04-06,66.8,48.8,12.72
96,2006-04-07,72.3,69.7,12.75
97,2006-04-08,58.5,79.6,12.78
98,2006-04-09,53.8,54.3,12.82
99,2006-04-10,61.7,45.0,12.85
100,2006-04-11,64.6,44.0,12.88
101,2006-04-12,67.8,53.0,12.92
102,2006-04-13,68.7,62.8,12.95
103,2006-04-14,73.0,57.1,12.98
104,2006-04-15,74.3,52.4,13.02
105,2006-04-16,73.5,64.1,13.05
106,2006-04-17,74.5,72.9,13.08
107,2006-04-18,78.3,61.8,13.12
108,2006-04-19,76.1,63.3,13.15
109,2006-04-20,70.2,81.5,13.18
110,2006-04-21,67.8,86.3,13.22
111,2006-04-22,66.2,78.0,13.25
112,2006-04-23,70.3,62.5,13.28
113,2006-04-24,73.0,61.5,13.32
114,2006-04-25,73.3,71.6,13.33
115,2006-04-26,67.3,85.8,13.37
116,2006-04-27,58.7,64.3,13.4
117,2006-04-28,63.8,52.0,13.43
118,2006-04-29,67.9,46.1,13.47
119,2006-04-30,59.2,75.3,13.48
120,2006-05-01,62.4,62.0,13.52
121,2006-05-02,69.6,69.5,13.55
122,2006-05-03,72.4,69.9,13.58
123,2006-05-04,70.5,77.1,13.6
124,2006-05-05,66.0,86.2,13.63
125,2006-05-06,65.8,72.4,13.67
126,2006-05-07,65.6,84.9,13.7
127,2006-05-08,65.4,77.3,13.72
128,2006-05-09,67.3,83.5,13.75
129,2006-05-10,65.4,88.9,13.77
130,2006-05-11,63.6,67.4,13.8
131,2006-05-12,62.3,52.2,13.82
132,2006-05-13,63.0,71.4,13.85
133,2006-05-14,66.6,56.2,13.87
134,2006-05-15,57.4,67.8,13.9
135,2006-05-16,59.9,71.6,13.92
136,2006-05-17,62.1,73.2,13.95
137,2006-05-18,69.7,54.3,13.97
138,2006-05-19,71.8,48.6,13.98
139,2006-05-20,80.8,47.5,14.02
140,2006-05-21,77.8,51.5,14.03
141,2006-05-22,76.3,62.5,14.05
142,2006-05-23,77.2,65.7,14.08
143,2006-05-24,78.8,61.1,14.1
144,2006-05-25,81.3,59.2,14.12
145,2006-05-26,82.0,60.1,14.13
146,2006-05-27,82.4,60.3,14.15
147,2006-05-28,82.0,60.4,14.17
148,2006-05-29,81.6,60.6,14.18
149,2006-05-30,81.5,63.4,14.2
150,2006-05-31,82.7,57.1,14.22
151,2006-06-01,76.0,67.8,14.23
152,2006-06-02,73.2,81.5,14.25
153,2006-06-03,70.9,70.1,14.27
154,2006-06-04,73.2,60.3,14.27
155,2006-06-05,71.9,54.8,14.28
156,2006-06-06,71.8,47.0,14.3
157,2006-06-07,76.0,46.4,14.3
158,2006-06-08,77.8,52.8,14.32
159,2006-06-09,76.9,54.3,14.33
160,2006-06-10,81.7,50.0,14.33
161,2006-06-11,83.7,50.1,14.35
162,2006-06-12,78.8,70.4,14.35
163,2006-06-13,74.1,71.8,14.35
164,2006-06-14,78.8,55.6,14.37
165,2006-06-15,80.7,43.8,14.37
166,2006-06-16,83.9,44.3,14.37
167,2006-06-17,82.4,51.0,14.37
168,2006-06-18,80.8,50.6,14.38
169,2006-06-19,81.5,56.8,14.38
170,2006-06-20,83.8,55.9,14.38
171,2006-06-21,86.3,49.2,14.38
172,2006-06-22,86.8,48.1,14.38
173,2006-06-23,78.3,74.3,14.38
174,2006-06-24,77.4,75.8,14.37
175,2006-06-25,78.9,68.9,14.37
176,2006-06-26,78.9,65.5,14.37
177,2006-06-27,78.8,57.0,14.37
178,2006-06-28,77.5,52.2,14.37
179,2006-06-29,79.4,50.9,14.35
180,2006-06-30,80.3,55.2,14.35
181,2006-07-01,84.2,50.0,14.33
182,2006-07-02,85.6,48.8,14.33
183,2006-07-03,84.8,53.2,14.32
